Tue Mar 08 15:59:10 +0000 2011	ulukait	I just scored 391 points in Fruit Ninja's Arcade Mode, with help from 2 Freeze Bananas! http://www.fruitninja.com http://bit.ly/eu9Y5O
Tue Mar 08 15:59:47 +0000 2011	Virgin__Islands	I just sliced 302 fruits, including 20 lush oranges on Fruit Ninja HD for iPad! http://www.fruitninja.com http://bit.ly/g77rnz
Wed Mar 09 06:20:01 +0000 2011	N1fe	I scored 196 points in Fruit Ninja's Zen Mode on iPhone, with a tasty 5 fruit combo! http://www.fruitninja.com http://bit.ly/fOaila
Wed Mar 09 06:24:40 +0000 2011	Nat_QueenCole	I just scored 421 points in Fruit Ninja's Arcade Mode, with help from 3 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/hDq093
Wed Mar 09 06:45:18 +0000 2011	N1fe	I just scored 395 points in Fruit Ninja's Arcade Mode, with help from 2 Freeze Bananas! http://www.fruitninja.com http://bit.ly/fOaila
Wed Mar 09 06:53:15 +0000 2011	GTM_CrimeBoss	I just scored 323 points in Fruit Ninja's Arcade Mode, with help from 4 Freeze Bananas! http://www.fruitninja.com http://bit.ly/hcxvEA
Wed Mar 09 06:55:09 +0000 2011	GTM_CrimeBoss	I just scored 346 points in Fruit Ninja's Arcade Mode, with help from 2 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/hcxvEA
Wed Mar 09 07:03:09 +0000 2011	lenni_ng	I just scored 562 points in Fruit Ninja's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/gzpoXf
Wed Mar 09 07:06:39 +0000 2011	GTM_CrimeBoss	I just scored 334 points in Fruit Ninja's Arcade Mode, with help from 4 Freeze Bananas! http://www.fruitninja.com http://bit.ly/hcxvEA
Wed Mar 09 07:07:04 +0000 2011	calvin_hlm22	I just scored 546 points in Fruit Ninja's Arcade Mode, with help from 2 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/e9TWXq
Wed Mar 09 07:08:22 +0000 2011	GTM_CrimeBoss	I just scored 301 points in Fruit Ninja's Arcade Mode, with help from 3 Freeze Bananas! http://www.fruitninja.com http://bit.ly/hcxvEA
Wed Mar 09 07:15:30 +0000 2011	GTM_CrimeBoss	I just scored 390 points in Fruit Ninja's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/hcxvEA
Wed Mar 09 07:17:24 +0000 2011	Hanif_Ali	I scored 207 points in Fruit Ninja's Zen Mode on iPhone, with a juicy 6 orange combo! http://www.fruitninja.com http://bit.ly/hsdK6n
Wed Mar 09 07:25:20 +0000 2011	da_frazman	I scored 227 points in Fruit Ninja's Zen Mode on iPhone, with a luscious 6 fruit combo! http://www.fruitninja.com http://bit.ly/fDgHsJ
Wed Mar 09 07:27:41 +0000 2011	GTM_CrimeBoss	I just scored 310 points in Fruit Ninja's Arcade Mode, with help from a Frenzy Banana! http://www.fruitninja.com http://bit.ly/hcxvEA
Wed Mar 09 07:28:38 +0000 2011	NinjaBoys1	I just sliced 6 fruits, including 3 delicious limes on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/gAOxGk
Wed Mar 09 07:29:45 +0000 2011	GTM_CrimeBoss	I just scored 337 points in Fruit Ninja's Arcade Mode, with help from 4 Freeze Bananas! http://www.fruitninja.com http://bit.ly/hcxvEA
Wed Mar 09 07:30:26 +0000 2011	NinjaBoys1	I just sliced 1 fruits. Need to play more Fruit Ninja on iPhone! http://www.fruitninja.com http://bit.ly/h82uWM
Wed Mar 09 07:33:04 +0000 2011	GTM_CrimeBoss	I just scored 332 points in Fruit Ninja's Arcade Mode, with help from 4 Freeze Bananas! http://www.fruitninja.com http://bit.ly/hcxvEA
Wed Mar 09 07:34:14 +0000 2011	burakentrk	I just scored 454 points in Fruit Ninja's Arcade Mode, with help from 4 Freeze Bananas! http://www.fruitninja.com http://bit.ly/i44puM
Wed Mar 09 07:36:04 +0000 2011	GTM_CrimeBoss	I just scored 398 points in Fruit Ninja's Arcade Mode, with help from 3 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/hcxvEA
Wed Mar 09 07:37:36 +0000 2011	toohottohandal	I just scored 221 points in Fruit Ninja's Arcade Mode, with help from 2 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/gwWnjE
Wed Mar 09 07:43:58 +0000 2011	corkeyy	I just scored 228 points in Fruit Ninja's Arcade Mode, with help from a Frenzy Banana! http://www.fruitninja.com http://bit.ly/dXoCSt
Wed Mar 09 07:55:44 +0000 2011	timothystringer	I just scored 548 points in Fruit Ninja's Arcade Mode, with help from 3 Freeze Bananas! http://www.fruitninja.com http://bit.ly/e2xwjJ
Wed Mar 09 07:57:26 +0000 2011	goldfishwan	I scored 225 points in Fruit Ninja's Zen Mode on iPhone, with a luscious 6 banana combo! http://www.fruitninja.com http://bit.ly/i9E5ZH
Wed Mar 09 08:01:05 +0000 2011	jamiehee	I scored 304 points in Fruit Ninja's Arcade Mode on iPhone! Needs to practice those combos! http://www.fruitninja.com http://bit.ly/eOZDz7
Wed Mar 09 08:04:23 +0000 2011	popcornner	I scored 192 points in Fruit Ninja's Zen Mode on iPhone, with a delicious 5 apple combo! http://www.fruitninja.com http://bit.ly/fceU3y
Wed Mar 09 08:08:08 +0000 2011	betwind	I just scored 896 points in Fruit Ninja's Arcade Mode, with help from 3 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/fK1TKc
Fri Mar 11 13:46:15 +0000 2011	peethanut	I just scored 500 points in Fruit Ninja's Arcade Mode, with help from 2 Freeze Bananas! http://www.fruitninja.com http://bit.ly/hT43pS
Fri Mar 11 13:51:34 +0000 2011	xSecondStar	I just sliced 453 fruits, including 28 luscious oranges on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/eyo4FB
Fri Mar 11 13:55:15 +0000 2011	KristineX0325	I just scored 732 points in Fruit Ninja's Arcade Mode, with help from 3 Freeze Bananas! http://www.fruitninja.com http://bit.ly/f5b8Rk
Fri Mar 11 13:58:11 +0000 2011	xSecondStar	I just sliced 289 fruits, including 24 delicious watermelons on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/eyo4FB
Fri Mar 11 14:00:14 +0000 2011	xSecondStar	I scored 221 points in Fruit Ninja's Zen Mode on iPhone, with a tasty 6 pear combo! http://www.fruitninja.com http://bit.ly/eyo4FB
